ISSN,Título,Estrato
2666-5662,FOOD CHEMISTRY: MOLECULAR SCIENCES,A3
0956-7135,FOOD CONTROL,A1
0268-005X,FOOD HYDROCOLLOIDS,A1
0740-0020,FOOD MICROBIOLOGY (PRINT),A1
2550-2166,FOOD RESEARCH,B2
0963-9969,FOOD RESEARCH INTERNATIONAL,A1
2048-7177,FOOD SCIENCE & NUTRITION,A2
2304-8158,FOODS,A2
2666-2256,FORENSIC IMAGING,C
0379-0738,FORENSIC SCIENCE INTERNATIONAL,A1
1556-2891,"FORENSIC SCIENCE, MEDICINE, AND PATHOLOGY",A3
2096-1790,FORENSIC SCIENCES RESEARCH (PRINT),A1
0218-348X,FRACTALS (SINGAPORE),A1
2238-8869,"FRONTEIRAS: JOURNAL OF SOCIAL, TECHNOLOGICAL AND ENVIRONMENTAL SCIENCE",A4
2296-6846,FRONTIERS FOR YOUNG MINDS,C
1663-4365,FRONTIERS IN AGING NEUROSCIENCE,A3
2673-9283,FRONTIERS IN ANALYTICAL SCIENCE,C
2296-4185,FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,A2
1093-9946,FRONTIERS IN BIOSCIENCE (PRINT),C
2296-634X,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,A1
2235-2988,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,A2
1662-5102,FRONTIERS IN CELLULAR NEUROSCIENCE,A2
2296-2646,FRONTIERS IN CHEMISTRY,A2
2673-4915,FRONTIERS IN DENTAL MEDICINE,C
2504-284X,FRONTIERS IN EDUCATION,C
1664-2392,FRONTIERS IN ENDOCRINOLOGY,A3
2296-665X,FRONTIERS IN ENVIRONMENTAL SCIENCE,A3
1662-5161,FRONTIERS IN HUMAN NEUROSCIENCE,B1
1664-3224,FRONTIERS IN IMMUNOLOGY (ONLINE),A2
2296-8016,FRONTIERS IN MATERIALS,A3
2296-858X,FRONTIERS IN MEDICINE,A2
1664-302X,FRONTIERS IN MICROBIOLOGY (ONLINE),A3
2296-889X,FRONTIERS IN MOLECULAR BIOSCIENCES,A2
2813-2602,FRONTIERS IN NATURAL PRODUCTS (ONLINE),C
1664-2295,FRONTIERS IN NEUROLOGY,A4
1662-453X,FRONTIERS IN NEUROSCIENCE,A3
2296-861X,FRONTIERS IN NUTRITION,A3
2234-943X,FRONTIERS IN ONCOLOGY,A3
2673-4842,FRONTIERS IN ORAL HEALTH,C
2673-561X,FRONTIERS IN PAIN RESEARCH,A2
2296-2360,FRONTIERS IN PEDIATRICS,B1
1663-9812,FRONTIERS IN PHARMACOLOGY,A2
1664-042X,FRONTIERS IN PHYSIOLOGY,A3
1664-0640,FRONTIERS IN PSYCHIATRY,A4
1664-1078,FRONTIERS IN PSYCHOLOGY,A2
2296-2565,FRONTIERS IN PUBLIC HEALTH,A1
2504-0537,FRONTIERS IN RESEARCH METRICS AND ANALYTICS,C
2624-9367,FRONTIERS IN SPORTS AND ACTIVE LIVING,A2
2296-875X,FRONTIERS IN SURGERY,B1
2673-3080,FRONTIERS IN TOXICOLOGY,A2
2297-1769,FRONTIERS IN VETERINARY SCIENCE,A1
2673-818X,FRONTIERS IN VIROLOGY,B2
0748-8157,FRONTIERS OF HEALTH SERVICES MANAGEMENT,B1
2664-777X,FRONTIERS OF ORAL AND MAXILLOFACIAL MEDICINE,C
0016-2361,FUEL (GUILDFORD),A1
2477-9202,FUERA DE CAMPO - REVISTA DE CINE,C
2175-7437,FULL DENTISTRY IN SCIENCE,C
1878-6146,FUNGAL BIOLOGY,A2
2666-8335,FUTURE FOODS,A1
1746-0921,FUTURE MICROBIOLOGY,A4
1746-0913,FUTURE MICROBIOLOGY (PRINT),A4
2673-9879,FUTURE PHARMACOLOGY,B3
2046-1402,F1000RESEARCH,A2
1135-2949,GACETA DENTAL,C
2565-005X,GACETA MEXICANA DE ONCOLOGÍA,B2
0966-6362,GAIT & POSTURE,A2
2161-783X,GAMES FOR HEALTH JOURNAL,A1
0393-3660,GAZZETTA MEDICA ITALIANA. ARCHIVIO PER LE SCIENZE MEDICHE (TESTO STAMPATO),B2
2310-2861,GELS,C
0378-1119,GENE (AMSTERDAM),A4
1052-2166,GENE EXPRESSION,B2
2452-0144,GENE REPORTS,B2
1476-5462,GENE THERAPY,A2
0969-7128,GENE THERAPY (BASINGSTOKE),A2
0363-6771,GENERAL DENTISTRY,B1
2073-4425,GENES,A4
1678-4685,GENETICS AND MOLECULAR BIOLOGY (ONLINE VERSION),A3
1676-5680,GENETICS AND MOLECULAR RESEARCH,B4
1759-6653,GENOME BIOLOGY AND EVOLUTION,A2
0197-4572,GERIATRIC NURSING (NEW YORK),A2
2151-4585,GERIATRIC ORTHOPAEDIC SURGERY AND REHABILITATION,A3
2447-2115,"GERIATRICS, GERONTOLOGY AND AGING",B1
2447-2123,"GERIATRICS, GERONTOLOGY AND AGING",B1
2750-624X,GERMAN JOURNAL OF PHARMACEUTICALS AND BIOMATERIALS (PRINT),B3
1612-3174,GERMAN MEDICAL SCIENCE,A1
0734-0664,GERODONTOLOGY,A2
1741-2358,GERODONTOLOGY,A2
0304-324X,GERONTOLOGY (BASEL),A3
1423-0003,GERONTOLOGY (BASEL. ONLINE),A3
2509-2715,GEROSCIENCE,A1
1121-4171,GIORNALE ITALIANO DI ENDODONZIA,B3
2675-5602,GLOBAL ACADEMIC NURSING JOURNAL,B1
1654-9880,GLOBAL HEALTH ACTION,A2
2662-9275,GLOBAL IMPLEMENTATION RESEARCH AND APPLICATIONS (ONLINE),B3
1916-9736,GLOBAL JOURNAL OF HEALTH SCIENCE,A4
2249-4618,GLOBAL JOURNAL OF MEDICAL RESEARCH,B3
0975-5888,GLOBAL JOURNAL OF MEDICAL RESEARCH,B3
2644-2981,GLOBAL JOURNAL OF NUTRITION & FOOD SCIENCE,B4
2474-7556,GLOBAL JOURNAL OF OTOLARYNGOLOGY,B3
2333-794X,GLOBAL PEDIATRIC HEALTH,B3
1744-1706,GLOBAL PUBLIC HEALTH (ONLINE),A2
0959-6658,GLYCOBIOLOGY (OXFORD),A2
2196-5226,GMS. HYGIENE AND INFECTION CONTROL,B2
1988-4214,GRASAS Y ACEITES,B1
0142-5242,GRASS AND FORAGE SCIENCE (PRINT),A1
1096-6374,GROWTH HORMONE & IGF RESEARCH,B1
2352-5789,GYNECOLOGIC ONCOLOGY REPORTS,B1
1746-160X,HEAD & FACE MEDICINE,A2
1097-0347,HEAD & NECK,A1
1043-3074,HEAD & NECK,A1
1936-0568,HEAD AND NECK PATHOLOGY (ONLINE),A1
1936-055X,HEAD AND NECK PATHOLOGY (PRINT),A1
2178-7468,HEADACHE MEDICINE,C
0017-8748,HEADACHE THE JOURNAL OF HEAD AND FACE PAIN,A1
1477-7525,HEALTH AND QUALITY OF LIFE OUTCOMES,A1
0739-9332,HEALTH CARE FOR WOMEN INTERNATIONAL,A4
1090-1981,HEALTH EDUCATION & BEHAVIOR,A2
1460-4582,HEALTH INFORMATICS JOURNAL,A2
2474-8307,HEALTH LITERACY RESEARCH AND PRACTICE,A2
2211-8837,HEALTH POLICY AND TECHNOLOGY,A2
0957-4824,HEALTH PROMOTION INTERNATIONAL (PRINT),A2
1524-8399,HEALTH PROMOTION PRACTICE,A2
2675-2913,HEALTH RESIDENCIES JOURNAL,B3
2227-9032,HEALTHCARE,A3
2673-3846,HEARTS,C
2405-8440,HELIYON,A2
2531-1379,"HEMATOLOGY, TRANSFUSION AND CELL THERAPY (IMPRESSO)",A4
1492-7535,HEMODIALYSIS INTERNATIONAL,B1
0952-8733,HIGHER EDUCATION POLICY,A3
1889-1837,HIPERTENSIÓN Y RIESGO VASCULAR,B2
0948-6143,HISTOCHEMISTRY AND CELL BIOLOGY,A2
1699-5848,HISTOLOGY AND HISTOPATHOLOGY,A3
0213-3911,HISTOLOGY AND HISTOPATHOLOGY,A3
0309-0167,HISTOPATHOLOGY (OXFORD. PRINT),A1
1179-1373,HIV/AIDS,A4
1807-1600,HOLOS (NATAL. ONLINE),A1
1475-4916,HOMEOPATHY (EDINBURGH. PRINT),A3
2378-878X,HSOA JOURNAL NEONATOLOGY AND CLINICAL PEDIATRICS,B3
1982-8047,HU REVISTA,B2
0103-3123,HU REVISTA (UFJF. IMPRESSO),B2
0960-3271,HUMAN & EXPERIMENTAL TOXICOLOGY,A3
1477-0903,HUMAN & EXPERIMENTAL TOXICOLOGY (ONLINE),A3
0198-8859,HUMAN IMMUNOLOGY,A4
2358-8322,HUMANIDADES & INOVAÇÃO,A3
1809-1628,HUMANIDADES & TECNOLOGIA EM REVISTA (FINOM),B1
1980-1726,HYGEIA : REVISTA BRASILEIRA DE GEOGRAFIA MÉDICA E DA SAÚDE (UBERLÂNDIA),A1
2673-947X,HYGIENE,C
1981-1179,ID ONLINE - REVISTA MULTIDISCIPLINAR E DE PSICOLOGIA,B1
2469-7311,IEEE TRANSACTIONS ON RADIATION AND PLASMA MEDICAL SCIENCES (PRINT),A1
1806-146X,IJD. INTERNATIONAL JOURNAL OF DENTISTRY,C
2675-9233,IKNOW JOURNAL,C
2233-7822,IMAGING SCIENCE IN DENTISTRY,A2
2233-7830,IMAGING SCIENCE IN DENTISTRY,A2
0171-2985,IMMUNOBIOLOGY.,A3
0019-2805,IMMUNOLOGY (OXFORD. PRINT),A2
1678-6661,IMPLANTNEWS,C
2675-5610,IMPLANTNEWS REABILITAÇÃO ORAL,C
2447-7567,IMPLANTNEWSPERIO INTERNATIONAL JOURNAL,C
1868-3207,IMPLANTS: INTERNATIONAL MAGAZINE OF ORAL IMPLANTOLOGY,C
0970-9290,INDIAN JOURNAL OF DENTAL RESEARCH,B1
0019-5154,INDIAN JOURNAL OF DERMATOLOGY,B1
0378-6323,INDIAN JOURNAL OF DERMATOLOGY VENEREOLOGY AND LEPROLOGY,A3
0019-5189,INDIAN JOURNAL OF EXPERIMENTAL BIOLOGY,B3
0973-7707,INDIAN JOURNAL OF OTOLARYNGOLOGY AND HEAD AND NECK SURGERY,B2
2231-3796,INDIAN JOURNAL OF OTOLARYNGOLOGY AND HEAD AND NECK SURGERY (PRINT),B2
0973-5674,INDIAN JOURNAL OF PHYSIOTHERAPY AND OCCUPATIONAL THERAPY,B3
0973-5666,INDIAN JOURNAL OF PHYSIOTHERAPY AND OCCUPATIONAL THERAPY (ONLINE),B3
0970-0358,INDIAN JOURNAL OF PLASTIC SURGERY,B2
0888-5885,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,A1
0926-6690,INDUSTRIAL CROPS AND PRODUCTS (PRINT),A1
0300-8126,INFECTION,A1
0899-823X,INFECTION CONTROL AND HOSPITAL EPIDEMIOLOGY,A3
2468-0451,"INFECTION, DISEASE & HEALTH",A1
0360-3997,INFLAMMATION,A2
1420-908X,INFLAMMATION RESEARCH,A2
1023-3830,INFLAMMATION RESEARCH (PRINTED ED.),A2
0925-4692,INFLAMMOPHARMACOLOGY (DORDRECHT. PRINT),A2
0020-1383,INJURY,A2
0020-1669,INORGANIC CHEMISTRY,A2
2667-1026,INTELLIGENT MEDICINE,A2
2197-425X,INTENSIVE CARE MEDICINE EXPERIMENTAL,A2
2731-457X,INTERDISCIPLINARY CANCER RESEARCH (ONLINE),B4
1414-3283,INTERFACE (BOTUCATU. IMPRESSO),A2
1807-5762,INTERFACE (BOTUCATU. ONLINE),A2
2318-2326,INTERFACES - REVISTA DE EXTENSÃO DA UFMG,B1
2316-3313,INTERFACES CIENTÍFICAS - SAÚDE E AMBIENTE,B1
2316-3798,INTERFACES CIENTÍFICAS - SAÚDE E AMBIENTE,B1
2177-7691,INTERFACES DA EDUCAÇÃO,A2
2348-795X,INTERNACIONAL JOURNAL OF RESEARCH,B3
2469-5823,INTERNATIONAL ARCHIVES OF NURSING AND HEALTH CARE,B2
0340-0131,INTERNATIONAL ARCHIVES OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH,A2
1432-1246,INTERNATIONAL ARCHIVES OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH (INTERNET),A2
1809-4864,INTERNATIONAL ARCHIVES OF OTORHINOLARYNGOLOGY (ONLINE),A4
1809-9777,INTERNATIONAL ARCHIVES OF OTORHINOLARYNGOLOGY (PRINT),A4
1677-6119,INTERNATIONAL BRAZILIAN JOURNAL OF UROLOGY,A2
1875-595X,INTERNATIONAL DENTAL JOURNAL,A1
0020-6539,INTERNATIONAL DENTAL JOURNAL,A1
1365-2591,INTERNATIONAL ENDODONTIC JOURNAL ONLINE,A1
0143-2885,INTERNATIONAL ENDODONTIC JOURNAL (PRINT),A1
2563-9269,INTERNATIONAL HEALTH TRENDS AND PERSPECTIVES,B2
1878-1705,INTERNATIONAL IMMUNOPHARMACOLOGY,A2
1567-5769,INTERNATIONAL IMMUNOPHARMACOLOGY (PRINT),A2
0268-3768,"INTERNATIONAL JOURNAL, ADVANCED MANUFACTURING TECHNOLOGY",A2
1475-9276,INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH (ONLINE),A1
2411-3123,INTERNATIONAL JOURNAL FOR INNOVATION EDUCATION AND RESEARCH,C
1353-4505,INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,A2
0143-7496,INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES,A2
0976-2612,INTERNATIONAL JOURNAL OF ADVANCED BIOTECHNOLOGY AND RESEARCH (PRINT),A4
2456-1908,INTERNATIONAL JOURNAL OF ADVANCED ENGINEERING RESEARCH AND SCIENCE,C
2349-6495,INTERNATIONAL JOURNAL OF ADVANCED ENGINEERING RESEARCH AND SCIENCE,C
2320-5407,INTERNATIONAL JOURNAL OF ADVANCED RESEARCH,C
2595-3931,INTERNATIONAL JOURNAL OF ADVANCES IN MEDICAL BIOTECHNOLOGY (IJAMB),B3
0924-8579,INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS (PRINT),A1
1546-542X,INTERNATIONAL JOURNAL OF APPLIED CERAMIC TECHNOLOGY,A4
2041-1286,INTERNATIONAL JOURNAL OF APPLIED GLASS SCIENCE (PRINT),A3
1560-4306,INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE IN EDUCATION,A1
0141-8130,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,A1
1879-0003,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,A1
1687-8787,INTERNATIONAL JOURNAL OF BIOMATERIALS,C
2160-2026,INTERNATIONAL JOURNAL OF BURNS AND TRAUMA,B1
2359-4802,INTERNATIONAL JOURNAL OF CARDIOVASCULAR SCIENCES (PRINT),B3
0976-3198,INTERNATIONAL JOURNAL OF CASE REPORTS AND IMAGES,B3
2578-3270,INTERNATIONAL JOURNAL OF CERAMIC ENGINEERING & SCIENCE,A4
1939-5930,INTERNATIONAL JOURNAL OF CHILD AND ADOLESCENT HEALTH,C
1936-2625,INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL PATHOLOGY,B3
2394-6377,INTERNATIONAL JOURNAL OF CLINICAL BIOCHEMISTRY AND RESEARCH (ONLINE),C
1939-5833,INTERNATIONAL JOURNAL OF CLINICAL DENTISTRY,B4
0974-7052,INTERNATIONAL JOURNAL OF CLINICAL PEDIATRIC DENTISTRY,A3
0946-1965,INTERNATIONAL JOURNAL OF CLINICAL PHARMACOLOGY AND THERAPEUTICS,B2
1368-5031,INTERNATIONAL JOURNAL OF CLINICAL PRACTICE (ESHER),A2
1742-1241,INTERNATIONAL JOURNAL OF CLINICAL PRACTICE (ONLINE),A2
2692-5877,INTERNATIONAL JOURNAL OF CLINICAL STUDIES & MEDICAL CASE REPORTS (ONLINE),B4
2349-3259,INTERNATIONAL JOURNAL OF CLINICAL TRIALS,B2
2381-1803,INTERNATIONAL JOURNAL OF COMPLEMENTARY AND ALTERNATIVE MEDICINE,C
1463-4201,INTERNATIONAL JOURNAL OF COMPUTERIZED DENTISTRY,A3
0975-833X,INTERNATIONAL JOURNAL OF CURRENT RESEARCH,C
1364-727X,INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY (PRINT),A2
1601-5037,INTERNATIONAL JOURNAL OF DENTAL HYGIENE (ONLINE),A2
1601-5029,INTERNATIONAL JOURNAL OF DENTAL HYGIENE (PRINT),A2
1677-2997,INTERNATIONAL JOURNAL OF DENTISTRY,A4
2378-7090,INTERNATIONAL JOURNAL OF DENTISTRY AND ORAL HEALTH,B3
2377-8075,INTERNATIONAL JOURNAL OF DENTISTRY AND ORAL SCIENCE (IJDOS),B3
1687-8736,INTERNATIONAL JOURNAL OF DENTISTRY (ONLINE),A4
1687-8728,INTERNATIONAL JOURNAL OF DENTISTRY (PRINT),A4
0011-9059,INTERNATIONAL JOURNAL OF DERMATOLOGY,A2
1365-4632,INTERNATIONAL JOURNAL OF DERMATOLOGY (ONLINE),A2
2230-9926,INTERNATIONAL JOURNAL OF DEVELOPMENT RESEARCH,C
2047-3869,INTERNATIONAL JOURNAL OF DEVELOPMENTAL DISABILITIES,A3
1741-8054,INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND SMALL BUSINESS,A1
1743-4955,INTERNATIONAL JOURNAL OF ENVIRONMENT AND HEALTH (PRINT),B4
0960-3123,INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH (PRINT),A2
1660-4601,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,C
1661-7827,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH (PRINT),C
0300-5771,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,A1
1464-3685,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY (ONLINE),A1
1744-1609,INTERNATIONAL JOURNAL OF EVIDENCE-BASED HEALTHCARE,B1
1365-2613,INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY (ONLINE),A3
0959-9673,INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY (PRINT),A3
1465-3478,INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION (ONLINE),A2
1048-891X,INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,A1
2764-0159,INTERNATIONAL JOURNAL OF HEALTH SCIENCE,B3
2372-5079,INTERNATIONAL JOURNAL OF HEALTH SCIENCES,B3
1982-6206,INTERNATIONAL JOURNAL OF HIGH DILUTION RESEARCH,B4
0360-3199,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,A1
1744-3121,INTERNATIONAL JOURNAL OF IMMUNOGENETICS (PRINT),A4
2198-4034,INTERNATIONAL JOURNAL OF IMPLANT DENTISTRY,A2
1201-9712,INTERNATIONAL JOURNAL OF INFECTIOUS DESEASES,A1
1471-8197,INTERNATIONAL JOURNAL OF INNOVATION AND LEARNING,A3
2639-9229,INTERNATIONAL JOURNAL OF INNOVATIVE SURGERY (ONLINE),C
2452-5588,INTERNATIONAL JOURNAL OF INTERDISCIPLINARY DENTISTRY (ONLINE),B3
2452-5596,INTERNATIONAL JOURNAL OF INTERDISCIPLINARY DENTISTRY (PRINT),B3
0937-9827,INTERNATIONAL JOURNAL OF LEGAL MEDICINE (PRINT),A2
1386-5056,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,A1
2589-9120,INTERNATIONAL JOURNAL OF MEDICAL SCIENCE AND APPLIED RESEARCH (PRINT),C
1422-0067,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES (ONLINE),A1
0717-9502,INTERNATIONAL JOURNAL OF MORPHOLOGY (ONLINE),B2
1178-2013,INTERNATIONAL JOURNAL OF NANOMEDICINE (ONLINE),A1
2595-2854,INTERNATIONAL JOURNAL OF NUTROLOGY (IJN),B3
0718-381X,INTERNATIONAL JOURNAL OF ODONTOSTOMATOLOGY,B3
0718-3801,INTERNATIONAL JOURNAL OF ODONTOSTOMATOLOGY (PRINT),B3
1019-6439,INTERNATIONAL JOURNAL OF ONCOLOGY,A2
1399-0020,INTERNATIONAL JOURNAL OF ORAL & MAXILLOFACIAL SURGERY (ONLINE),A1
0901-5027,INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,A1
2395-7387,INTERNATIONAL JOURNAL OF ORAL HEALTH AND MEDICAL RESEARCH,C
2631-6420,INTERNATIONAL JOURNAL OF ORAL IMPLANTOLOGY,A2
1365-263X,INTERNATIONAL JOURNAL OF PAEDIATRIC DENTISTRY (ONLINE),A2
0960-7439,INTERNATIONAL JOURNAL OF PAEDIATRIC DENTISTRY (PRINT),A2
0165-5876,INTERNATIONAL JOURNAL OF PEDIATRIC OTORHINOLARYNGOLOGY (PRINT),A3
2469-5769,INTERNATIONAL JOURNAL OF PEDIATRIC RESEARCH,C
1687-9740,INTERNATIONAL JOURNAL OF PEDIATRICS (PRINT),C
1750-6123,INTERNATIONAL JOURNAL OF PHARMACEUTICAL AND HEALTHCARE MARKETING,A2
0975-8232,INTERNATIONAL JOURNAL OF PHARMACEUTICAL SCIENCE AND RESEARCH,C
0378-5173,INTERNATIONAL JOURNAL OF PHARMACEUTICS (PRINT),A1
1811-7775,INTERNATIONAL JOURNAL OF PHARMACOLOGY (PRINT),B4
1110-662X,INTERNATIONAL JOURNAL OF PHOTOENERGY (PRINT),A3
1563-535X,INTERNATIONAL JOURNAL OF POLYMERIC MATERIALS AND POLYMERIC BIOMATERIALS,A2
0091-4037,INTERNATIONAL JOURNAL OF POLYMERIC MATERIALS (PRINT),A2
2231-6361,INTERNATIONAL JOURNAL OF PROSTHODONTICS AND RESTORATIVE DENTISTRY,B3
1661-8564,INTERNATIONAL JOURNAL OF PUBLIC HEALTH (ONLINE),A2
0955-3002,INTERNATIONAL JOURNAL OF RADIATION BIOLOGY (PRINT),A2
2572-3235,INTERNATIONAL JOURNAL OF RADIOLOGY AND IMAGING TECHNOLOGY,B3
2960-043X,INTERNATIONAL JOURNAL OF RESEARCH RADICALS IN MULTIDISCIPLINARY FIELDS,B2
2319-7064,INTERNATIONAL JOURNAL OF SCIENCE AND RESEARCH,C
2582-8185,INTERNATIONAL JOURNAL OF SCIENCE AND RESEARCH ARCHIVE,B1
2454-2008,INTERNATIONAL JOURNAL OF SCIENCE AND RESEARCH METHODOLOGY,C
2316-1256,INTERNATIONAL JOURNAL OF SCIENCE DENTISTRY,B3
2321-3418,INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH AND MANAGEMENT,C
2783-0160,INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH UPDATES,B3
0956-4624,INTERNATIONAL JOURNAL OF STD & AIDS,A4
2210-2612,INTERNATIONAL JOURNAL OF SURGERY CASE REPORTS,B2
1743-9191,INTERNATIONAL JOURNAL OF SURGERY (PRINT),A1
1066-8969,INTERNATIONAL JOURNAL OF SURGICAL PATHOLOGY,A4
2457-0648,"INTERNATIONAL JOURNAL OF TEACHING, EDUCATION AND LEARNING",B2
2278-1005,INTERNATIONAL JOURNAL OF TROPICAL DISEASE & HEALTH,B2
1179-142X,INTERNATIONAL MEDICAL CASE REPORTS JOURNAL,A4
1573-2630,INTERNATIONAL OPHTHALMOLOGY,A4
1761-7227,INTERNATIONAL ORTHODONTICS,A3
0883-0185,INTERNATIONAL REVIEWS OF IMMUNOLOGY (PRINT),A2
2764-9547,INTERNATIONAL SEVEN JOURNAL OF MULTIDISCIPLINARY (ONLINE),C
2216-0280,INVESTIGACIÓN Y EDUCACION EN ENFERMERIA,A1
2278-487X,IOSR JOURNAL OF BUSINESS AND MANAGEMENT (IOSR-JBM),C
2279-0861,IOSR JOURNAL OF DENTAL AND MEDICAL SCIENCES,B2
2279-0837,IOSR JOURNAL OF HUMANITIES AND SOCIAL SCIENCE (ONLINE),C
2008-2746,IRANIAN ENDODONTIC JOURNAL,A4
1735-7497,IRANIAN ENDODONTIC JOURNAL,A4
2008-3874,IRANIAN JOURNAL OF BASIC MEDICAL SCIENCES,A4
2383-3491,IRANIAN JOURNAL OF ORTHODONTICS,B4
1726-6890,IRANIAN JOURNAL OF PHARMACEUTICAL RESEARCH,A3
2251-6085,IRANIAN JOURNAL OF PUBLIC HEALTH,B1
1959-0318,IRBM,A3
0021-1265,IRISH JOURNAL OF MEDICAL SCIENCE,A2
2589-0042,ISCIENCE,A1
1122-6714,ITALIAN JOURNAL OF ANATOMY AND EMBRYOLOGY,B4
0967-5868,J CLIN NEUROSCI.,A2
2168-6106,JAMA INTERNAL MEDICINE,A1
2574-3805,JAMA NETWORK OPEN,A1
2374-2445,JAMA ONCOLOGY (ONLINE),A1
2168-6181,JAMA OTOLARYNGOLOGY - HEAD & NECK SURGERY,A1
2168-6203,JAMA PEDIATRICS (PRINT),A1
1882-7616,JAPANESE DENTAL SCIENCE REVIEW,A1
0260-437X,JAT. JOURNAL OF APPLIED TOXICOLOGY,A2
2669-2783,JAW FUNCTIONAL ORTHOPEDICS AND CRANIOFACIAL GROWTH,B4
2689-8381,JBI EVIDENCE SYNTHESIS,A1
2473-4039,JBMR PLUS,A2
2379-3708,JCI INSIGHT,A1
2473-4284,JCO PRECISION ONCOLOGY,A2
2380-0844,JDR CLINICAL & TRANSLATIONAL RESEARCH,A1
0964-2633,JIDR. JOURNAL OF INTELLECTUAL DISABILITY RESEARCH (PRINT),A1
2561-326X,JMIR FORMATIVE RESEARCH,A4
1438-8871,JMIR. JOURNAL OF MEDICAL INTERNET RESEARCH,A1
1929-0748,JMIR RESEARCH PROTOCOLS,A3
2179-6750,JMPHC. JOURNAL OF MANAGEMENT AND PRIMARY HEALTH CARE,B4
1121-8428,JN. JOURNAL OF NEPHROLOGY (MILANO. 1992),A2
2175-8239,JORNAL BRASILEIRO DE NEFROLOGIA,A3
0103-5118,JORNAL BRASILEIRO DE NEUROCIRURGIA,B4
1676-2444,JORNAL BRASILEIRO DE PATOLOGIA E MEDICINA LABORATORIAL,B1
1806-3713,JORNAL BRASILEIRO DE PNEUMOLOGIA (IMPRESSO),A2
1806-3756,JORNAL BRASILEIRO DE PNEUMOLOGIA (ONLINE),A2
1982-0208,JORNAL BRASILEIRO DE PSIQUIATRIA (ONLINE),B3
0047-2085,JORNAL BRASILEIRO DE PSIQUIATRIA (UFRJ. IMPRESSO),B3
2595-0290,JORNAL DE CIÊNCIAS DA SAÚDE DO HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO PIAUÍ,C
0021-7557,JORNAL DE PEDIATRIA (IMPRESSO),A2
1678-4782,JORNAL DE PEDIATRIA (ONLINE),A2
2448-0002,JORNAL INTERDISCIPLINAR DE BIOCIÊNCIAS,B4
1677-7301,JORNAL VASCULAR BRASILEIRO,B2
2674-5054,JOURNAL CLINICAL AND EXPERIMENTAL INVESTIGATIONS,B3
1156-5233,JOURNAL DE MYCOLOGIE MÉDICALE,A4
2526-1010,JOURNAL HEALTH NPEPS,B1
2005-2901,JOURNAL OF ACUPUNCTURE AND MERIDIAN STUDIES,B1
0169-4243,JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY (PRINT),A3
1461-5185,JOURNAL OF ADHESIVE DENTISTRY,A1
1757-9988,JOURNAL OF ADHESIVE DENTISTRY (ONLINE),A1
0309-2402,JOURNAL OF ADVANCED NURSING,A1
2320-2068,JOURNAL OF ADVANCED ORAL RESEARCH,B2
2456-8899,JOURNAL OF ADVANCES IN MEDICINE AND MEDICAL RESEARCH,C
2456-7116,JOURNAL OF ADVANCES IN MICROBIOLOGY,C
2666-9153,JOURNAL OF AFFECTIVE DISORDERS REPORTS,A4
1063-8652,JOURNAL OF AGING AND PHYSICAL ACTIVITY,A4
2764-0973,JOURNAL OF AGRICULTURAL SCIENCES RESEARCH,B2
0091-6749,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,A1
0925-8388,JOURNAL OF ALLOYS AND COMPOUNDS,A1
